,artist,song,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
901,Boss Top,Hell Naw,35,0.767,0.313,6,-14.743,0,0.174,0.00788,0.000198,0.259,0.44,135.007,audio_features,1fGkPN23G4NHnbweA4j1V1,spotify:track:1fGkPN23G4NHnbweA4j1V1,https://api.spotify.com/v1/tracks/1fGkPN23G4NHnbweA4j1V1,https://api.spotify.com/v1/audio-analysis/1fGkPN23G4NHnbweA4j1V1,204067,4
902,MH Chaos,Chaos Returns,19,0.561,0.975,10,-5.065,0,0.132,0.0282,0.0114,0.677,0.477,159.987,audio_features,4G6ALkDPh0Y6Knb47oLtgq,spotify:track:4G6ALkDPh0Y6Knb47oLtgq,https://api.spotify.com/v1/tracks/4G6ALkDPh0Y6Knb47oLtgq,https://api.spotify.com/v1/audio-analysis/4G6ALkDPh0Y6Knb47oLtgq,145992,4
903,Frankie Knuckles,Your Love,50,0.7,0.725,4,-11.433,0,0.0492,0.0439,0.851,0.125,0.129,116.824,audio_features,0vryyKyxCFXT0gg670yNEw,spotify:track:0vryyKyxCFXT0gg670yNEw,https://api.spotify.com/v1/tracks/0vryyKyxCFXT0gg670yNEw,https://api.spotify.com/v1/audio-analysis/0vryyKyxCFXT0gg670yNEw,403706,4
904,Warm Ones,Small Spies,1,0.438,0.707,0,-5.927,1,0.0287,0.0177,0,0.28,0.72,133.43,audio_features,1MmRdGqdeWMHTKC4Ek1L60,spotify:track:1MmRdGqdeWMHTKC4Ek1L60,https://api.spotify.com/v1/tracks/1MmRdGqdeWMHTKC4Ek1L60,https://api.spotify.com/v1/audio-analysis/1MmRdGqdeWMHTKC4Ek1L60,195030,4
905,Sleep On It,Under the Moment,43,0.594,0.923,1,-5.183,1,0.0817,0.00484,1.57e-05,0.221,0.754,125.065,audio_features,69oLbKpRTL4rnHnob9luIF,spotify:track:69oLbKpRTL4rnHnob9luIF,https://api.spotify.com/v1/tracks/69oLbKpRTL4rnHnob9luIF,https://api.spotify.com/v1/audio-analysis/69oLbKpRTL4rnHnob9luIF,197819,4
906,Pegboy,Strong Reaction,38,0.375,0.935,6,-8.241,0,0.068,0.000459,1.85e-06,0.159,0.61,95.327,audio_features,18ywoZg1vkly8ZZsmpQxiS,spotify:track:18ywoZg1vkly8ZZsmpQxiS,https://api.spotify.com/v1/tracks/18ywoZg1vkly8ZZsmpQxiS,https://api.spotify.com/v1/audio-analysis/18ywoZg1vkly8ZZsmpQxiS,237907,4
907,FBG Duck,Exposing Me Remix (feat. Rooga),52,0.589,0.639,1,-5.24,1,0.231,0.032,5.09e-05,0.226,0.434,153.26,audio_features,3SvNiISgfIkLeD7tOSi6gV,spotify:track:3SvNiISgfIkLeD7tOSi6gV,https://api.spotify.com/v1/tracks/3SvNiISgfIkLeD7tOSi6gV,https://api.spotify.com/v1/audio-analysis/3SvNiISgfIkLeD7tOSi6gV,181970,4
908,Gene Chandler,Duke of Earl,54,0.422,0.28,5,-11.277,1,0.0365,0.824,0,0.297,0.496,100.839,audio_features,6Hy22YDN9HJMRlJP1LwnJy,spotify:track:6Hy22YDN9HJMRlJP1LwnJy,https://api.spotify.com/v1/tracks/6Hy22YDN9HJMRlJP1LwnJy,https://api.spotify.com/v1/audio-analysis/6Hy22YDN9HJMRlJP1LwnJy,147841,4
909,Voodoo Glow Skulls,Insubordination,45,0.402,0.908,4,-6.016,0,0.0631,0.0206,0.288,0.731,0.634,136.155,audio_features,1WIhQj1Bv1XTscWNCgmQvX,spotify:track:1WIhQj1Bv1XTscWNCgmQvX,https://api.spotify.com/v1/tracks/1WIhQj1Bv1XTscWNCgmQvX,https://api.spotify.com/v1/audio-analysis/1WIhQj1Bv1XTscWNCgmQvX,208227,4
910,Mr. Lil One,Mr. Lil One,44,0.866,0.648,1,-7.112,1,0.0746,0.194,5.9e-06,0.0727,0.68,99.685,audio_features,2SQZaBIPNly8xduYrpExAz,spotify:track:2SQZaBIPNly8xduYrpExAz,https://api.spotify.com/v1/tracks/2SQZaBIPNly8xduYrpExAz,https://api.spotify.com/v1/audio-analysis/2SQZaBIPNly8xduYrpExAz,293133,3
911,Los Destellos,Elsa,51,0.605,0.703,7,-9.066,1,0.038,0.115,3.11e-06,0.0719,0.888,100.988,audio_features,5NKsz3ZklHNHbCVxMHiFU7,spotify:track:5NKsz3ZklHNHbCVxMHiFU7,https://api.spotify.com/v1/tracks/5NKsz3ZklHNHbCVxMHiFU7,https://api.spotify.com/v1/audio-analysis/5NKsz3ZklHNHbCVxMHiFU7,220080,4
912,Dromedarios Mágicos,De Mí,62,0.398,0.288,3,-8.958,1,0.0341,0.85,0,0.169,0.162,93.889,audio_features,4Si4I7aAPl7liGtTWlIYKN,spotify:track:4Si4I7aAPl7liGtTWlIYKN,https://api.spotify.com/v1/tracks/4Si4I7aAPl7liGtTWlIYKN,https://api.spotify.com/v1/audio-analysis/4Si4I7aAPl7liGtTWlIYKN,230080,3
913,Wolfgang Amadeus Mozart,"Ave verum corpus, K. 618",26,0.084,0.0258,2,-29.619,1,0.0483,0.98,0.0805,0.0688,0.0338,76.244,audio_features,5xgmSGdvs9dvPOEGKJVHLo,spotify:track:5xgmSGdvs9dvPOEGKJVHLo,https://api.spotify.com/v1/tracks/5xgmSGdvs9dvPOEGKJVHLo,https://api.spotify.com/v1/audio-analysis/5xgmSGdvs9dvPOEGKJVHLo,170000,4
914,Frances England,You & Me,42,0.577,0.202,5,-11.078,1,0.0398,0.832,1.22e-05,0.132,0.523,129.225,audio_features,6gLp2opesiDDYfobz3rMR6,spotify:track:6gLp2opesiDDYfobz3rMR6,https://api.spotify.com/v1/tracks/6gLp2opesiDDYfobz3rMR6,https://api.spotify.com/v1/audio-analysis/6gLp2opesiDDYfobz3rMR6,152987,4
915,Super Simple Songs,Twinkle Twinkle Little Star,65,0.696,0.227,1,-11.763,1,0.042,0.866,1.25e-05,0.0794,0.284,87.88,audio_features,3N6kzbnfpTPB5J9NAGc1rU,spotify:track:3N6kzbnfpTPB5J9NAGc1rU,https://api.spotify.com/v1/tracks/3N6kzbnfpTPB5J9NAGc1rU,https://api.spotify.com/v1/audio-analysis/3N6kzbnfpTPB5J9NAGc1rU,152692,4
916,Michael Gough,101 Dalmatians (Animated) - Storyteller,41,0.678,0.377,10,-14.254,0,0.91,0.906,0,0.55,0.596,115.893,audio_features,7862XC8i1wphnOtlspiSyA,spotify:track:7862XC8i1wphnOtlspiSyA,https://api.spotify.com/v1/tracks/7862XC8i1wphnOtlspiSyA,https://api.spotify.com/v1/audio-analysis/7862XC8i1wphnOtlspiSyA,569533,4
917,Miserycore,Milicia de Rabia,9,0.201,0.941,5,-8.771,1,0.0646,3.3e-06,0.0155,0.0908,0.0364,94.254,audio_features,2Q9ioktLG7vwS7TG5qJNuM,spotify:track:2Q9ioktLG7vwS7TG5qJNuM,https://api.spotify.com/v1/tracks/2Q9ioktLG7vwS7TG5qJNuM,https://api.spotify.com/v1/audio-analysis/2Q9ioktLG7vwS7TG5qJNuM,185307,4
918,BBS Paranoicos,La Rabia,40,0.35,0.894,9,-4.587,0,0.0706,0.0204,0,0.138,0.46,167.321,audio_features,1jU7sUPTdYEzAvrFn6po5l,spotify:track:1jU7sUPTdYEzAvrFn6po5l,https://api.spotify.com/v1/tracks/1jU7sUPTdYEzAvrFn6po5l,https://api.spotify.com/v1/audio-analysis/1jU7sUPTdYEzAvrFn6po5l,173093,4
919,Diego Lorenzini,Sí Po',48,0.764,0.433,5,-10.355,0,0.0578,0.921,9.33e-05,0.112,0.704,93.813,audio_features,4SUxFLdV6bGJ6ITrseAzNW,spotify:track:4SUxFLdV6bGJ6ITrseAzNW,https://api.spotify.com/v1/tracks/4SUxFLdV6bGJ6ITrseAzNW,https://api.spotify.com/v1/audio-analysis/4SUxFLdV6bGJ6ITrseAzNW,182485,4
920,Dorso,Disco Blood,27,0.381,0.931,10,-6.696,0,0.0609,0.000115,0.0962,0.131,0.688,178.509,audio_features,0qvCfchoFb3zWBK1bhvor3,spotify:track:0qvCfchoFb3zWBK1bhvor3,https://api.spotify.com/v1/tracks/0qvCfchoFb3zWBK1bhvor3,https://api.spotify.com/v1/audio-analysis/0qvCfchoFb3zWBK1bhvor3,267293,4
921,Los Miserables,El crack,45,0.587,0.907,7,-4.71,1,0.0504,0.0447,4.15e-05,0.112,0.735,140.817,audio_features,3UUtewTLgASbX6afOBHAeQ,spotify:track:3UUtewTLgASbX6afOBHAeQ,https://api.spotify.com/v1/tracks/3UUtewTLgASbX6afOBHAeQ,https://api.spotify.com/v1/audio-analysis/3UUtewTLgASbX6afOBHAeQ,226307,4
922,Organizacion Indu,Atolito Con el Dedo,28,0.524,0.803,0,-7.476,0,0.0634,0.502,0.000353,0.311,0.972,181.364,audio_features,0lucPC7wgpdFcsM7xxrrTY,spotify:track:0lucPC7wgpdFcsM7xxrrTY,https://api.spotify.com/v1/tracks/0lucPC7wgpdFcsM7xxrrTY,https://api.spotify.com/v1/audio-analysis/0lucPC7wgpdFcsM7xxrrTY,175309,3
923,VHOOR,Verde,34,0.823,0.802,8,-6.926,1,0.245,0.207,0.917,0.126,0.467,190.071,audio_features,6sqG1sGiZ5xy58TDkeo9rS,spotify:track:6sqG1sGiZ5xy58TDkeo9rS,https://api.spotify.com/v1/tracks/6sqG1sGiZ5xy58TDkeo9rS,https://api.spotify.com/v1/audio-analysis/6sqG1sGiZ5xy58TDkeo9rS,202104,4
924,Chill Cole,Floating Leaf,43,0.585,0.507,0,-10.39,0,0.0373,0.312,0.87,0.152,0.139,78.01,audio_features,6euO9FARa5gss5nCie8pod,spotify:track:6euO9FARa5gss5nCie8pod,https://api.spotify.com/v1/tracks/6euO9FARa5gss5nCie8pod,https://api.spotify.com/v1/audio-analysis/6euO9FARa5gss5nCie8pod,248356,4
925,Kay9ine,Better With You Than On My Own,56,0.746,0.558,8,-9.516,1,0.141,0.607,0,0.142,0.824,134.995,audio_features,32M9aAAuuhybp33wiLWtes,spotify:track:32M9aAAuuhybp33wiLWtes,https://api.spotify.com/v1/tracks/32M9aAAuuhybp33wiLWtes,https://api.spotify.com/v1/audio-analysis/32M9aAAuuhybp33wiLWtes,140444,4
926,Threestyle,Adriatic Flow,19,0.633,0.731,2,-5.93,0,0.0317,0.477,0.286,0.081,0.342,150.001,audio_features,5J20UPjnzrTPsm5dinLLl8,spotify:track:5J20UPjnzrTPsm5dinLLl8,https://api.spotify.com/v1/tracks/5J20UPjnzrTPsm5dinLLl8,https://api.spotify.com/v1/audio-analysis/5J20UPjnzrTPsm5dinLLl8,248400,4
927,Aurélien Trigo,Little Krumbs,39,0.447,0.0805,8,-20.874,0,0.0489,0.994,0.937,0.106,0.178,143.149,audio_features,3vrkYJODH1pEthNwy9bdSq,spotify:track:3vrkYJODH1pEthNwy9bdSq,https://api.spotify.com/v1/tracks/3vrkYJODH1pEthNwy9bdSq,https://api.spotify.com/v1/audio-analysis/3vrkYJODH1pEthNwy9bdSq,193753,4
928,Gary B,Good to Be Out of the Rain,45,0.465,0.818,4,-7.313,0,0.042,0.0498,0.34,0.127,0.228,119.995,audio_features,3CPbULPwafXsNNi0YA2Buy,spotify:track:3CPbULPwafXsNNi0YA2Buy,https://api.spotify.com/v1/tracks/3CPbULPwafXsNNi0YA2Buy,https://api.spotify.com/v1/audio-analysis/3CPbULPwafXsNNi0YA2Buy,278179,4
929,Clush,Afternoon,30,0.592,0.426,7,-10.4,1,0.0491,0.372,0.895,0.0866,0.12,180.012,audio_features,7fX5PnnUJxx5TNya3zPTWx,spotify:track:7fX5PnnUJxx5TNya3zPTWx,https://api.spotify.com/v1/tracks/7fX5PnnUJxx5TNya3zPTWx,https://api.spotify.com/v1/audio-analysis/7fX5PnnUJxx5TNya3zPTWx,136000,4
930,MOSSS,Here If You Want (Pale Blue),50,0.761,0.6,7,-7.348,1,0.0765,0.269,0.864,0.108,0.557,96.015,audio_features,7a0mPDySTtLmgE3NoIBNJp,spotify:track:7a0mPDySTtLmgE3NoIBNJp,https://api.spotify.com/v1/tracks/7a0mPDySTtLmgE3NoIBNJp,https://api.spotify.com/v1/audio-analysis/7a0mPDySTtLmgE3NoIBNJp,199036,4
